"","SpeciesSSet","Freq","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"1","1",53,1,0.00114977719595943,0.00226559956772165,0.00281541559966181,0.000184755505540313,-0.00578339359811819,-0.0106619410914144,-0.00917986551932293,-0.00185239883437349,0.00451734775379098,0.00456810886913939,0.000545535235413119,-0.00140381675682333,0.000841151929028339,0.00433730043291103,0.00677911161503753,0.00892454183071312,0.0105264119407549,0.00793630496443409,-0.00145519697404417,-0.0147126058661553,-0.0262144713487515,-0.0335702444902712,-0.0376027280410698,-0.0373220979481803,-0.0289533694596389,-0.0114230408909988,0.00972600627641906,0.025953829924334,0.0322761554707545,0.0291716553489878,0.0195835231633241,0.00623204892842066,-0.00834702935049147,-0.0210577906854037,-0.0286673051489292,-0.0291273034042074,-0.0229844701021116,-0.013907882307524,-0.00693803465358256,-0.00487085289528144,-0.0062980013757894,-0.00783128595374505,-0.00775652555938544,-0.00651491357539591,-0.00444119763345174,-0.00131241837260099,0.00135439289963912,-0.000266454450713383,-0.00873604517636473,-0.0218103411856685,-0.0337347608683438,-0.0400279439395872
"10","2",53,1,0.0147149516909741,0.0129392197371052,0.00972411929711958,0.00546222537406416,0.000522424860667225,-0.00370866695471594,-0.00529156369249328,-0.00426310287483123,-0.0032896734596437,-0.00441650920646675,-0.0061578603106891,-0.00530241825268529,-0.000784510070900302,0.00597266629810189,0.013808387538832,0.0223303352382309,0.0293160403287376,0.0302952183019969,0.0226018745837919,0.00864072620362744,-0.0063874872780425,-0.0189920218647857,-0.0280668350202484,-0.0322898338422128,-0.0297267732881747,-0.0207005776918536,-0.00907499386186861,0.000616296667744098,0.00641713811919287,0.00860480437862154,0.00737766117551808,0.00243436613718373,-0.00543935076752189,-0.0136523419469117,-0.0190341028614589,-0.0194948881860046,-0.0149425251673203,-0.00741276679433356,-8.60965853046736e-05,0.00486206262810973,0.00774981911139827,0.0102233393619529,0.0126461124431476,0.0134233838716742,0.0110312650219599,0.0058083856032507,-0.000674979330155701,-0.00717962941442662,-0.0130531699409686,-0.0176159199728803,-0.0202967511575516,-0.0212867927091436
"100","3",53,1,0.0222312362416501,0.0146037172847011,0.000429399376105977,-0.0150790994047159,-0.0257300472969313,-0.0285852601232788,-0.0240895170038598,-0.0133225078190145,0.00215628708813353,0.0174624974703697,0.0251329017339035,0.0219308149561632,0.0135808229802135,0.00971276556007727,0.0142005165660997,0.0224486971973239,0.0273943064382196,0.0253473934879267,0.0163690245363524,0.00297279021115759,-0.00991023345261777,-0.0170506654888316,-0.0179222426576482,-0.0176519560892836,-0.0201593430335532,-0.0220065556550233,-0.0167054761034924,-0.0046282868874763,0.00527287040814239,0.00460573540050557,-0.00657509967907721,-0.0220320101280429,-0.0360289514995731,-0.0451789078443516,-0.0463858312356094,-0.0374288591258156,-0.020133872621416,-0.00040786725133124,0.0158859407948315,0.026144896613435,0.0305766549162279,0.0305575694058637,0.0277472368479619,0.0229695465183357,0.0152767457229648,0.00370218701510905,-0.00932581816049738,-0.0180968103246577,-0.0186555016158128,-0.0128318969710552,-0.00614122945569884,-0.00253931800311435
"1000","4",53,1,-0.0759761453938792,-0.0461357070737198,-0.0149232866041757,-0.00722323202090536,-0.0131146589632898,-0.0108169640947755,-0.0011687781722951,0.00114535831414475,-0.00359065412273973,-0.00188581772338492,0.00893490346796311,0.0176851225875971,0.0178633701064799,0.0137023364119564,0.0102039812081567,0.0114929137555557,0.0245234014124283,0.0465453494387424,0.0528147147848594,0.0207546837485404,-0.0309188878116213,-0.0533340299362874,-0.0285123277003201,0.00502178780667784,0.00469695615787025,-0.0204071370664458,-0.03089058302571,-0.016411859403759,-0.00135323091375583,0.000762725572357015,0.00249291448671696,0.00949883145229791,0.00849570006286449,0.00186989437979102,0.0215224218970396,0.0826434438275394,0.145671708927748,0.154015157401212,0.0983484884589987,0.0169553514306422,-0.0570490099454957,-0.115826325981259,-0.147458175887159,-0.126726739352329,-0.05320276594764,0.0272120392326607,0.0616996890250314,0.039813721836568,-0.0107095854175312,-0.0621240711641482,-0.102011292867609,-0.12358193445056
"1001","5",53,1,-0.0241431099422855,-0.0128529825047612,0.00388973472895193,0.0172705611132153,0.0234168331323543,0.0231062949258054,0.0163647707909385,0.00246186644968649,-0.0149402884216259,-0.0272435802636544,-0.0282874791560044,-0.0205619819134828,-0.0116801648574274,-0.00544753947404075,0.0010936664353407,0.0114979329785436,0.0232232455717365,0.0289173013457282,0.0236703547543975,0.00951503727443459,-0.00697354666514549,-0.0197521428280441,-0.0254359426822632,-0.0225072093427721,-0.0112971968824667,0.00464974680116592,0.0191926721554729,0.0273619532432678,0.0281688481873177,0.022887028064376,0.0118669299133258,-0.00457088173306941,-0.0222105972134647,-0.0330065744620738,-0.031318355139426,-0.0191743749353144,-0.00396787821310429,0.00798623655080632,0.0143238403418309,0.0153704277497622,0.0137442963997101,0.0145809367152152,0.0212524262421745,0.0288587580620541,0.026301448634416,0.0091707371628762,-0.0116765188984682,-0.0195161577834511,-0.00959686289749007,0.00694924350982307,0.017396747141142,0.0200817983789388
"1002","6",53,1,-0.0143816932986447,-0.02004158186163,-0.0277769715985516,-0.0317593140682046,-0.0296404186734252,-0.0242495591322598,-0.0187276535791727,-0.0120845227619417,-0.00200765817000281,0.00926136580998027,0.0160225148432069,0.016832134544319,0.0167761659584225,0.0194983846410126,0.0211689157469011,0.0172652563845599,0.0124401230099263,0.0161926202475158,0.0277900952306305,0.0327277498849334,0.0188321594163723,-0.00839431771068799,-0.0317321621812929,-0.0407171817143013,-0.0381259460785786,-0.0296242626739629,-0.015418317582176,0.00410648747272546,0.0204843363374845,0.0221288022107753,0.00712327749331831,-0.013233677365319,-0.0248323997350774,-0.0228032618352945,-0.0133210685725929,-0.005977847584268,-0.00517057079942118,-0.00726027973622512,-0.00538598074494678,0.00193396706138227,0.00745788432097516,0.0032095356141173,-0.00739849368412915,-0.00912831200586384,0.00932340416512556,0.0397789192102045,0.058734408075837,0.0488634658935561,0.0148771707689141,-0.022701746743627,-0.0470106446484091,-0.0560119747591725
"1003","7",53,1,-0.0270493709522046,-0.0265445831911744,-0.02567868154848,-0.0244512167374622,-0.0224113550872111,-0.0190339243985826,-0.0142836301429006,-0.008620677915534,-0.00260913556117548,0.00326912912647903,0.00857587159307172,0.0130398381514663,0.0167397783739607,0.0198679363964167,0.0221818680321906,0.0228895184785114,0.0212417495649402,0.0171586318902754,0.0112324106421142,0.00434096929902439,-0.00253177023949358,-0.00824989920374453,-0.0116750201307241,-0.012088019730073,-0.0095463877564379,-0.00498405781713429,-8.13135034101187e-05,0.0032107311989662,0.00355801414673729,0.000998425445450035,-0.00324796730931398,-0.00782668776717999,-0.0120066888312731,-0.015394373890772,-0.0173123697435338,-0.0169854610926252,-0.0144009866355894,-0.0106003888161892,-0.00686341614112829,-0.0037265063803773,-0.000915509797252856,0.00198891741389273,0.00510360038778068,0.00832314259541445,0.0114147961924893,0.0138563271612258,0.0148611856879919,0.0139310599570224,0.0114502214601637,0.00857508509517046,0.00644270721149875,0.00547939419930499
"1004","8",53,1,-0.0401699187273525,-0.0421679511495279,-0.0468202200609324,-0.0528603714937368,-0.056773284964361,-0.055461169916482,-0.0487937579026989,-0.0387768896049563,-0.0265949681059054,-0.0117976561333564,0.00525413666011776,0.0214722425208731,0.0328792426292561,0.0380884367982146,0.038916159980507,0.0375649629290937,0.0343169180891474,0.0284260858145602,0.0202010862199569,0.0111192479890219,0.00235660143901817,-0.00552577496604822,-0.011337504427565,-0.0130449053234238,-0.00986574253673433,-0.00421970417032247,-0.000617776568289763,-0.00222059650972128,-0.00852900637844933,-0.0161215576069154,-0.0211290119942442,-0.0212442813901379,-0.0164512089902147,-0.00867965077701705,-0.000596427874148375,0.00593038508278365,0.0104974097420307,0.0133227380918128,0.0139711530066271,0.0113486128815989,0.00512532853977743,-0.00302125073568882,-0.00975654160876815,-0.0118011383085095,-0.00772433190038613,0.00123890691477424,0.0117450479828256,0.0200637778474471,0.0240536227503805,0.024092437842645,0.0223341525759535,0.0209725245990087
"1005","9",53,1,-0.0165796799664046,-0.0163415689753885,-0.0158850318090988,-0.0151618141517442,-0.0139612484040954,-0.0120973399809727,-0.00964733796947614,-0.00689620962423398,-0.00407504573995987,-0.0012533548151239,0.00151283490816256,0.00402425482311775,0.00598011045050684,0.00715129611729948,0.00750815050307496,0.00721340723696273,0.00648727191749421,0.00543183514132894,0.00398204653095746,0.00207395832939494,-0.000142792044687923,-0.0023292604721723,-0.00421171856835634,-0.00574092857928243,-0.00697402773985445,-0.00790926780575374,-0.00854439599931966,-0.00903058548721125,-0.00959919948033638,-0.0102772168988852,-0.0107606563966349,-0.010643507977939,-0.00976517540694966,-0.00834181880911711,-0.00682308233980522,-0.00563548791063684,-0.00497161776107169,-0.00473751201327111,-0.00470900347888481,-0.00476053601736881,-0.00489925667854085,-0.00506314870208091,-0.00500642233622339,-0.00452184322723626,-0.00374815315399801,-0.00311666040953917,-0.00295471060167163,-0.00322809034845162,-0.00368646467718969,-0.00413257375326292,-0.00447792364970367,-0.00466365187039997
"1006","10",53,1,0.00343479348632147,0.0102164965494427,0.0132163219892398,0.00434018499253574,-0.009873852358391,-0.0166441843667018,-0.0138272709774021,-0.0112556332745515,-0.0160387578423522,-0.0233226967589573,-0.0237942511259344,-0.0150381632108321,-0.00147992840807887,0.0132693989813235,0.0284487898857468,0.0415437446077591,0.0473835590291185,0.0437203286497376,0.0337699193095071,0.0204742174751216,0.00152167510720336,-0.0252902071213741,-0.0526198959513653,-0.0648832270178101,-0.0519889474619655,-0.0198511383613937,0.0149926812044858,0.0395660644603832,0.0505920885522226,0.0484522752340839,0.0313856960682457,-0.000219683165991524,-0.0365464911351863,-0.0614565902258266,-0.0653750311714787,-0.0527358177536938,-0.0347308863583593,-0.0170334890420529,0.00198760888731808,0.0221739906381493,0.0359924376160841,0.0350558675293247,0.020027242182918,0.000728479596004306,-0.0132769985782994,-0.0196923026924736,-0.0212446278124521,-0.0198059254537861,-0.0149750276891514,-0.00708422530637498,0.000976602782121416,0.00570032562490774
